protein1 protein2 combined_score
362663.ECP_0002 362663.ECP_2405 290
362663.ECP_0002 362663.ECP_0497 290
362663.ECP_0002 362663.ECP_2830 221
362663.ECP_0002 362663.ECP_2600 229
362663.ECP_0002 362663.ECP_4171 273
362663.ECP_0002 362663.ECP_3965 223
362663.ECP_0002 362663.ECP_3210 223
362663.ECP_0002 362663.ECP_0633 290
362663.ECP_0002 362663.ECP_2851 280
362663.ECP_0002 362663.ECP_2329 290
362663.ECP_0002 362663.ECP_3437 263
362663.ECP_0002 362663.ECP_3527 338
362663.ECP_0002 362663.ECP_2358 338
362663.ECP_0002 362663.ECP_4242 234
362663.ECP_0002 362663.ECP_2865 223
362663.ECP_0002 362663.ECP_2601 229
362663.ECP_0002 362663.ECP_4172 221
362663.ECP_0002 362663.ECP_4461 263
362663.ECP_0002 362663.ECP_4149 475
362663.ECP_0004 362663.ECP_4772 161
362663.ECP_0009 362663.ECP_4252 284
362663.ECP_0009 362663.ECP_2925 167
362663.ECP_0009 362663.ECP_3762 181
362663.ECP_0009 362663.ECP_1025 155
362663.ECP_0009 362663.ECP_2749 242
362663.ECP_0009 362663.ECP_3667 242
362663.ECP_0009 362663.ECP_4114 242
362663.ECP_0009 362663.ECP_4060 152
362663.ECP_0009 362663.ECP_4689 167
362663.ECP_0009 362663.ECP_2546 167
362663.ECP_0009 362663.ECP_0709 213
362663.ECP_0009 362663.ECP_2901 152
362663.ECP_0009 362663.ECP_2411 152
362663.ECP_0009 362663.ECP_0939 248
362663.ECP_0009 362663.ECP_1565 600
362663.ECP_0009 362663.ECP_4028 600
362663.ECP_0009 362663.ECP_3471 275
362663.ECP_0009 362663.ECP_3685 242
362663.ECP_0009 362663.ECP_4233 167
362663.ECP_0009 362663.ECP_2359 155
362663.ECP_0009 362663.ECP_1093 600
362663.ECP_0009 362663.ECP_0786 153
362663.ECP_0009 362663.ECP_1329 165
362663.ECP_0009 362663.ECP_2625 199
362663.ECP_0009 362663.ECP_4327 275
362663.ECP_0009 362663.ECP_0784 165
362663.ECP_0009 362663.ECP_4516 167
362663.ECP_0009 362663.ECP_4090 167
362663.ECP_0009 362663.ECP_3973 199
362663.ECP_0009 362663.ECP_2905 155
362663.ECP_0009 362663.ECP_4273 248
362663.ECP_0009 362663.ECP_2929 610
362663.ECP_0009 362663.ECP_2786 242
362663.ECP_0009 362663.ECP_2824 155
362663.ECP_0009 362663.ECP_1365 167
362663.ECP_0009 362663.ECP_1592 241
362663.ECP_0009 362663.ECP_4128 271
362663.ECP_0009 362663.ECP_1724 167
362663.ECP_0009 362663.ECP_3101 167
362663.ECP_0009 362663.ECP_1528 167
362663.ECP_0009 362663.ECP_2129 167
362663.ECP_0009 362663.ECP_2523 293
362663.ECP_0009 362663.ECP_0073 161
362663.ECP_0009 362663.ECP_4029 610
362663.ECP_0009 362663.ECP_2528 266
362663.ECP_0009 362663.ECP_3717 167
362663.ECP_0009 362663.ECP_4422 157
362663.ECP_0009 362663.ECP_4509 266
362663.ECP_0009 362663.ECP_1555 271
362663.ECP_0009 362663.ECP_4386 188
362663.ECP_0009 362663.ECP_1869 153
362663.ECP_0009 362663.ECP_2477 602
362663.ECP_0009 362663.ECP_2072 282
362663.ECP_0009 362663.ECP_2441 600
362663.ECP_0009 362663.ECP_1722 167
362663.ECP_0009 362663.ECP_2827 600
362663.ECP_0009 362663.ECP_1678 231
362663.ECP_0010 362663.ECP_1674 332
362663.ECP_0010 362663.ECP_2274 173
362663.ECP_0010 362663.ECP_3915 159
362663.ECP_0010 362663.ECP_2332 159
362663.ECP_0010 362663.ECP_4183 292
362663.ECP_0010 362663.ECP_2655 159
362663.ECP_0010 362663.ECP_3567 281
362663.ECP_0010 362663.ECP_3906 198
362663.ECP_0010 362663.ECP_1369 159
362663.ECP_0014 362663.ECP_4415 179
362663.ECP_0014 362663.ECP_3630 721
362663.ECP_0014 362663.ECP_0736 518
362663.ECP_0014 362663.ECP_1709 938
362663.ECP_0014 362663.ECP_0962 628
362663.ECP_0014 362663.ECP_3108 161
362663.ECP_0014 362663.ECP_0171 152
362663.ECP_0014 362663.ECP_2559 162
362663.ECP_0014 362663.ECP_3311 310
362663.ECP_0014 362663.ECP_4420 334
362663.ECP_0014 362663.ECP_3250 262
362663.ECP_0014 362663.ECP_0158 546
362663.ECP_0014 362663.ECP_0991 199
362663.ECP_0014 362663.ECP_3888 375
362663.ECP_0014 362663.ECP_3903 470
362663.ECP_0014 362663.ECP_4454 522
362663.ECP_0014 362663.ECP_3252 199
362663.ECP_0014 362663.ECP_4386 678
362663.ECP_0014 362663.ECP_0811 262
362663.ECP_0014 362663.ECP_1489 492
362663.ECP_0014 362663.ECP_3157 649
362663.ECP_0014 362663.ECP_0076 199
362663.ECP_0014 362663.ECP_0986 472
362663.ECP_0014 362663.ECP_3887 472
362663.ECP_0014 362663.ECP_0852 163
362663.ECP_0014 362663.ECP_2767 199
362663.ECP_0014 362663.ECP_0586 699
362663.ECP_0014 362663.ECP_1183 259
362663.ECP_0014 362663.ECP_0701 278
362663.ECP_0014 362663.ECP_2806 448
362663.ECP_0014 362663.ECP_3426 271
362663.ECP_0014 362663.ECP_3319 200
362663.ECP_0014 362663.ECP_2578 262
362663.ECP_0014 362663.ECP_1939 256
362663.ECP_0014 362663.ECP_0510 256
362663.ECP_0014 362663.ECP_2614 999
362663.ECP_0014 362663.ECP_4247 158
362663.ECP_0014 362663.ECP_1418 546
362663.ECP_0014 362663.ECP_0058 860
362663.ECP_0014 362663.ECP_0922 332
362663.ECP_0014 362663.ECP_1114 324
362663.ECP_0014 362663.ECP_2122 568
362663.ECP_0014 362663.ECP_0185 158
362663.ECP_0014 362663.ECP_3172 197
362663.ECP_0014 362663.ECP_0100 349
362663.ECP_0014 362663.ECP_3454 701
362663.ECP_0014 362663.ECP_1329 160
362663.ECP_0014 362663.ECP_1455 163
362663.ECP_0014 362663.ECP_3204 208
362663.ECP_0014 362663.ECP_4193 478
362663.ECP_0014 362663.ECP_1940 256
362663.ECP_0014 362663.ECP_0497 786
362663.ECP_0014 362663.ECP_3249 208
362663.ECP_0014 362663.ECP_3075 197
362663.ECP_0014 362663.ECP_0442 439
362663.ECP_0014 362663.ECP_3900 556
362663.ECP_0014 362663.ECP_3318 152
362663.ECP_0014 362663.ECP_4291 280
362663.ECP_0014 362663.ECP_1678 364
362663.ECP_0014 362663.ECP_1388 151
362663.ECP_0014 362663.ECP_0032 174
362663.ECP_0014 362663.ECP_3295 218
362663.ECP_0014 362663.ECP_4268 577
362663.ECP_0014 362663.ECP_3616 492
362663.ECP_0014 362663.ECP_2531 548
362663.ECP_0014 362663.ECP_3405 219
362663.ECP_0014 362663.ECP_1416 312
362663.ECP_0014 362663.ECP_0908 199
362663.ECP_0014 362663.ECP_4492 193
362663.ECP_0014 362663.ECP_2165 160
362663.ECP_0014 362663.ECP_3710 530
362663.ECP_0014 362663.ECP_4016 505
362663.ECP_0014 362663.ECP_2778 208
362663.ECP_0014 362663.ECP_0051 575
362663.ECP_0014 362663.ECP_1592 344
362663.ECP_0014 362663.ECP_2038 289
362663.ECP_0014 362663.ECP_3074 197
362663.ECP_0014 362663.ECP_1766 472
362663.ECP_0014 362663.ECP_2274 332
362663.ECP_0014 362663.ECP_3265 209
362663.ECP_0014 362663.ECP_3380 160
362663.ECP_0014 362663.ECP_0654 472
362663.ECP_0014 362663.ECP_1421 367
362663.ECP_0014 362663.ECP_1599 302
362663.ECP_0014 362663.ECP_1708 938
362663.ECP_0014 362663.ECP_1251 221
362663.ECP_0014 362663.ECP_2536 211
362663.ECP_0014 362663.ECP_0305 256
362663.ECP_0014 362663.ECP_0896 199
362663.ECP_0014 362663.ECP_3438 280
362663.ECP_0014 362663.ECP_3429 478
362663.ECP_0014 362663.ECP_4419 334
362663.ECP_0014 362663.ECP_3933 259
362663.ECP_0014 362663.ECP_1000 909
362663.ECP_0014 362663.ECP_4461 637
362663.ECP_0014 362663.ECP_4118 201
362663.ECP_0014 362663.ECP_0741 643
362663.ECP_0014 362663.ECP_1076 267
362663.ECP_0014 362663.ECP_0229 448
362663.ECP_0014 362663.ECP_2436 209
362663.ECP_0014 362663.ECP_2595 962
362663.ECP_0014 362663.ECP_0784 151
362663.ECP_0014 362663.ECP_0484 258
362663.ECP_0014 362663.ECP_1857 592
362663.ECP_0014 362663.ECP_1580 314
362663.ECP_0014 362663.ECP_1658 172
362663.ECP_0014 362663.ECP_4399 518
362663.ECP_0014 362663.ECP_3209 208
362663.ECP_0014 362663.ECP_3241 258
362663.ECP_0014 362663.ECP_4417 475
362663.ECP_0014 362663.ECP_2203 151
362663.ECP_0014 362663.ECP_2858 208
362663.ECP_0014 362663.ECP_2533 529
362663.ECP_0014 362663.ECP_4352 289
362663.ECP_0014 362663.ECP_2915 305
362663.ECP_0014 362663.ECP_4387 879
362663.ECP_0014 362663.ECP_3317 152
362663.ECP_0014 362663.ECP_3268 250
362663.ECP_0014 362663.ECP_1727 367
362663.ECP_0014 362663.ECP_3388 360
362663.ECP_0014 362663.ECP_0952 188
362663.ECP_0014 362663.ECP_2475 222
362663.ECP_0014 362663.ECP_3122 556
362663.ECP_0014 362663.ECP_1397 262
362663.ECP_0014 362663.ECP_1900 301
362663.ECP_0014 362663.ECP_3430 730
362663.ECP_0014 362663.ECP_0534 941
362663.ECP_0014 362663.ECP_2532 946
362663.ECP_0014 362663.ECP_0535 220
362663.ECP_0014 362663.ECP_3909 208
362663.ECP_0014 362663.ECP_2530 219
362663.ECP_0014 362663.ECP_2712 559
362663.ECP_0014 362663.ECP_2235 657
362663.ECP_0014 362663.ECP_3640 208
362663.ECP_0014 362663.ECP_2395 199
